Nth day,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017
Page path and screen class,Views,Views,Views,Views,Views,Views,Views,Views,Views,Views,Views,Views,Views,Views,Views,Views,Views,Views
/dyn/,92,199,33,31,32,108,80,111,128,139,127,198,121,4,9,7,1,2
/sol/,81,27,58,52,20,62,80,139,153,159,151,198,135,6,2,2,1,6
/dyn/particle_kinematics/,15,53,12,18,24,22,49,98,117,134,143,198,170,2,4,4,0,0
/sta/,137,86,94,30,27,95,145,203,19,8,6,7,24,11,15,13,3,1
/dyn/rigid_body_kinematics/,61,137,10,13,9,17,30,61,79,70,100,120,142,4,3,1,0,1
/dyn/contact_and_rolling/,119,264,23,6,9,33,38,65,48,41,43,81,81,1,1,2,0,0
/dyn/rigid_body_kinetics/,49,78,13,18,22,40,29,56,86,87,103,128,140,0,3,1,0,0
/dyn/vectors/,6,23,13,12,9,24,53,61,72,92,95,158,115,3,5,1,0,1
/sta/moment_of_inertia/,122,51,34,18,24,67,108,197,13,6,8,7,14,1,6,4,1,0
/sol/bending/,7,5,5,17,12,18,63,55,80,104,68,79,83,3,1,1,0,0
/dyn/vector_calculus/,3,24,7,10,12,23,36,70,50,82,71,117,77,4,6,0,1,0
/dyn/work_and_energy/,5,22,28,17,36,82,20,27,47,53,52,70,69,1,1,1,0,0
/sol/buckling/,29,9,14,5,17,34,70,73,44,56,38,56,59,2,0,0,0,1
/sol/beam_deflection/,73,9,13,3,5,13,18,29,57,78,60,49,57,1,1,3,0,1
/sol/axial_loading/,7,0,5,12,19,11,36,50,64,70,56,85,49,1,1,0,0,0
/sol/stress_transformation/,13,19,36,72,4,10,8,13,35,70,61,60,58,3,3,0,0,0
/sol/material_properties/,4,1,5,8,15,19,40,47,63,77,59,75,42,1,2,0,0,0
/sol/torsion/,3,3,6,17,5,12,29,37,67,77,66,74,55,0,2,0,0,0
/sta/virtual_work/,38,23,32,22,17,63,77,115,5,7,0,2,4,5,4,0,1,1
/dyn/particle_kinetics/,7,25,4,2,6,8,11,39,51,43,57,67,84,0,1,1,0,0
/sol/transverse_shear/,4,1,3,8,5,7,27,31,69,65,56,52,52,1,6,0,1,1
/sol/failure_theories/,6,12,25,56,3,6,9,13,34,53,55,49,52,0,5,1,0,0
/sol/strain/,5,3,7,5,7,19,32,34,53,61,44,43,19,2,2,1,0,0
/sol/stress/,7,9,9,5,7,23,21,42,30,66,27,31,24,1,2,2,1,1
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/particle_kinematics.html,0,0,0,0,7,6,13,20,41,45,35,63,49,1,0,0,0,0
/sol/combined_loading/,2,4,15,24,4,4,6,10,27,59,37,22,47,2,2,0,0,0
/,14,16,24,7,3,19,9,19,46,13,13,7,15,6,11,1,3,4
/sta/centers_of_mass/,41,50,39,5,2,10,25,22,3,2,0,2,3,0,4,1,0,0
/sol/shear_moment_diagrams/,0,2,2,7,2,6,25,13,37,33,28,30,22,0,1,0,0,0
/pl/course_instance/158221/assessment/2434727/clientFilesCourse/mechref/dyn/rigid_body_kinematics.html,0,0,0,0,2,8,14,12,28,24,24,34,49,0,0,0,0,0
