Timestamp,My discussion section TA is,Course online reference pages [I use the reference pages of this course],Course online reference pages [They helped me understand course material],Course online reference pages [The instructor regularly shows/mentions them in lecture],Course online reference pages [I use them to solve PrairieLearn homework problems],Course online reference pages [I use them to solve Quizzes],Course online reference pages [I use them to solve problems in the dicussion sections],Course online reference pages [The reference pages stimulate my curiosity about real world problems],Course online reference pages [The reference pages help me understand how concepts in the course connect to each other.],Course online reference pages [The reference pages help me understand how the course content relates to my role as a future engineer.],Which devices do you use to access the online reference pages?
12/2/2024 23:28:37,Jean Myung,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),3 (Neutral),"Tablet, Laptop"
12/3/2024 18:02:40,Jiaqi,4,4,4,3 (Neutral),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/3/2024 20:08:58,Jiheng,5 (Strongly agree),4,4,5 (Strongly agree),4,4,4,4,4,"Tablet, Desktop (computer lab, library)"
12/3/2024 21:08:15,Jiheng,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 22:12:06,Jean Myung,5 (Strongly agree),3 (Neutral),2,4,5 (Strongly agree),2,4,5 (Strongly agree),4,"Laptop, Desktop (computer lab, library)"
12/4/2024 18:04:45,Jiaqi,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/4/2024 19:04:27,Jiheng,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Tablet
12/4/2024 19:07:07,Jiheng,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),4,2,5 (Strongly agree),2,"Tablet, Laptop"
12/5/2024 17:04:04,Younghyuk,3 (Neutral),3 (Neutral),3 (Neutral),4,3 (Neutral),5 (Strongly agree),3 (Neutral),3 (Neutral),3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/5/2024 20:05:01,Younghyuk,5 (Strongly agree),3 (Neutral),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Smartphone"
