Timestamp,My discussion section TA is,Course online reference pages [I use the reference pages of this course],Course online reference pages [They helped me understand course material],Course online reference pages [The instructor regularly shows/mentions them in lecture],Course online reference pages [I use them to solve PrairieLearn homework problems],Course online reference pages [I use them to solve Quizzes],Course online reference pages [I use them to solve problems in the dicussion sections],Course online reference pages [The reference pages stimulate my curiosity about real world problems],Course online reference pages [The reference pages help me understand how concepts in the course connect to each other.],Course online reference pages [The reference pages help me understand how the course content relates to my role as a future engineer.],Which devices do you use to access the online reference pages?
12/2/2024 23:29:15,Junren,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),3 (Neutral),"Tablet, Laptop"
12/3/2024 19:07:02,Pranto,2,3 (Neutral),2,1 (Strongly diagree),2,1 (Strongly diagree),4,1 (Strongly disagree),2,"Laptop, Desktop (computer lab, library)"
12/3/2024 20:04:07,Pranto,5 (Strongly agree),4,3 (Neutral),4,4,4,4,5 (Strongly agree),4,"Laptop, Smartphone"
12/3/2024 20:04:23,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 20:04:36,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),"Laptop, Smartphone, Desktop (computer lab, library)"
12/3/2024 20:04:42,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Laptop, Desktop (computer lab, library)"
12/3/2024 20:04:49,Pranto,5 (Strongly agree),5 (Strongly agree),4,3 (Neutral),5 (Strongly agree),3 (Neutral),3 (Neutral),4,4,"Tablet, Desktop (computer lab, library)"
12/3/2024 20:04:51,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 20:05:00,Pranto,5 (Strongly agree),3 (Neutral),3 (Neutral),5 (Strongly agree),5 (Strongly agree),2,3 (Neutral),3 (Neutral),3 (Neutral),Smartphone
12/3/2024 20:05:13,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 20:05:14,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop"
12/3/2024 20:05:14,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/3/2024 20:05:15,Pranto,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),4,"Laptop, Desktop (computer lab, library)"
12/3/2024 20:05:20,Pranto,5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,5 (Strongly agree),5 (Strongly agree),"Tablet, Laptop, Smartphone"
12/3/2024 20:05:38,Pranto,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),2,4,2,Laptop
