Timestamp,My Instructor is,My discussion section TA is,Course online reference pages [I use the reference pages of this course],Course online reference pages [They helped me understand course material],Course online reference pages [The instructor regularly shows/mentions them  in lecture],Course online reference pages [I use them to solve PrairieLearn homework problems ],Course online reference pages [I use them to solve Quizzes],Course online reference pages [I use them to solve problems in the dicussion sections],Course online reference pages [The reference pages stimulate my curiosity about real world problems],Course online reference pages [The reference pages help me understand how concepts in the course connect to each other.],Course online reference pages [The reference pages help me understand how the course content relates to my role as a future engineer.],Which devices do you use to access the online reference pages?
12/2/2024 19:36:14,Prof. Kellie Halloran,Skyler,4,5 (Strongly agree),5 (Strongly agree),4,4,4,3 (Neutral),4,3 (Neutral),"Laptop, Desktop (computer lab, library)"
12/2/2024 19:37:03,Prof. Nikhil Admal,Skyler,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,5 (Strongly agree),"Laptop, Smartphone, Desktop (computer lab, library)"
12/2/2024 19:37:55,Prof. Nikhil Admal,Skyler,4,4,4,4,3 (Neutral),3 (Neutral),4,4,4,Laptop
12/2/2024 19:37:58,Prof. Nikhil Admal,Skyler,5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/2/2024 19:38:55,Prof. Kellie Halloran,Skyler,5 (Strongly agree),5 (Strongly agree),4,4,3 (Neutral),4,4,4,4,Laptop
12/2/2024 19:45:57,Prof. Nikhil Admal,Skyler,4,4,4,2,4,1 (Strongly disagree),3 (Neutral),4,1 (Strongly disagree),Laptop
12/2/2024 19:46:52,Prof. Kellie Halloran,Shivam,5 (Strongly agree),5 (Strongly agree),1 (Strongly disagree),4,5 (Strongly agree),3 (Neutral),2,4,3 (Neutral),"Tablet, Laptop"
12/2/2024 19:50:40,Prof. Nikhil Admal,Skyler,5 (Strongly agree),3 (Neutral),3 (Neutral),1 (Strongly disagree),2,1 (Strongly disagree),1 (Strongly disagree),3 (Neutral),3 (Neutral),Laptop
12/2/2024 20:14:32,Prof. Kellie Halloran,Skyler,1 (Strongly disagree),3 (Neutral),3 (Neutral),2,2,2,1 (Strongly disagree),3 (Neutral),3 (Neutral),Laptop
12/2/2024 20:16:47,Prof. Kellie Halloran,Skyler,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),4,4,4,"Tablet, Laptop, Desktop (computer lab, library)"
12/2/2024 20:42:55,Prof. Kellie Halloran,Skyler,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Laptop
12/2/2024 21:17:25,Prof. Nikhil Admal,Jehyung,1 (Strongly disagree),1 (Strongly disagree),2,1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),1 (Strongly disagree),None
12/2/2024 21:18:59,Prof. Nikhil Admal,Boqiang,5 (Strongly agree),5 (Strongly agree),2,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),3 (Neutral),5 (Strongly agree),4,Laptop
12/2/2024 22:14:02,Prof. Kellie Halloran,Jehyung,4,3 (Neutral),4,3 (Neutral),3 (Neutral),2,3 (Neutral),3 (Neutral),3 (Neutral),Laptop
12/2/2024 22:14:47,Prof. Kellie Halloran,Jehyung,4,3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),3 (Neutral),2,2,1 (Strongly disagree),Laptop
12/2/2024 22:15:23,Prof. Kellie Halloran,Boqiang,4,3 (Neutral),5 (Strongly agree),4,4,1 (Strongly disagree),4,4,4,Laptop
