,Nth day,0000,0001,0002,0003,0004,0005,0006,0007,0008,0009,0010,0011,0012,0013,0014,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024,0025,0026,0027,0028,0029,0030,0031,0032,0033,0034,0035,0036,0037,0038,0039,0040,0041,0042,0043,0044,0045,0046,0047,0048,0049,0050,0051,0052,0053,0054,0055,0056,0057,0058,0059,0060,0061,0062,0063,0064,0065,0066,0067
Page path and screen class,Segment,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions,Engaged sessions
/sta/,All Users,120,8,15,74,52,106,32,44,6,10,40,22,66,25,16,27,37,92,107,207,285,199,18,35,40,59,177,145,92,5,8,11,12,7,6,3,13,21,84,89,111,61,70,22,22,72,116,168,11,5,3,7,10,8,10,7,1,0,3,3,9,36,2,2,1,1,2,0
/dyn/,All Users,39,13,33,68,35,74,112,65,15,43,93,18,19,43,44,19,44,137,45,88,121,38,12,31,71,17,31,28,7,5,11,12,11,8,8,12,8,27,95,46,66,158,29,25,27,74,50,83,76,85,86,124,78,3,5,3,1,2,1,1,2,2,1,0,1,1,2,1
/sol/,All Users,62,55,9,18,64,81,20,39,34,9,30,45,43,51,70,81,8,21,47,64,31,37,41,16,42,72,107,95,111,1,1,9,4,1,0,6,4,15,23,42,69,24,38,39,15,45,55,86,103,117,104,100,77,6,2,1,1,4,1,0,2,0,0,1,0,1,2,0
/dyn/rigid_body_kinematics/,All Users,41,13,33,73,40,71,122,50,15,42,92,15,17,29,14,16,21,79,44,87,135,19,11,19,42,9,16,14,2,4,3,2,9,7,6,4,7,16,35,19,45,100,10,9,8,18,21,47,54,50,65,91,84,2,2,1,0,1,0,0,0,0,2,0,1,1,0,0
/dyn/rigid_body_kinetics/,All Users,12,1,10,22,9,14,30,53,11,33,70,14,10,29,43,25,52,158,64,118,150,23,11,16,34,15,18,20,3,4,2,2,7,6,1,6,3,8,36,19,30,69,11,11,14,31,24,42,55,66,70,98,89,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
/sol/bending/,All Users,76,73,8,15,44,62,15,28,23,2,8,19,22,47,74,86,4,7,21,24,10,17,38,6,14,26,30,32,17,0,0,3,1,1,0,0,0,0,2,1,5,4,5,15,8,11,34,43,61,82,50,66,64,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0
/dyn/contact_and_rolling/,All Users,7,0,0,3,0,1,7,5,1,5,15,1,2,2,6,3,11,31,10,24,37,24,11,25,48,10,19,7,5,6,6,8,10,10,6,13,10,33,102,53,76,175,20,6,7,26,27,50,30,39,32,64,55,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
/sol/stress_transformation/,All Users,4,1,2,7,20,22,3,16,13,8,31,32,28,16,7,16,6,12,40,58,7,10,4,16,28,58,92,126,129,2,1,4,2,0,1,2,1,0,4,7,6,16,27,42,2,7,5,11,26,46,52,47,43,4,2,0,0,0,2,2,0,0,2,0,0,1,0,0
/sta/moment_of_inertia/,All Users,5,3,1,3,7,9,6,6,2,1,1,1,3,9,6,10,2,6,3,9,16,7,1,4,15,6,37,32,19,4,3,9,10,6,4,2,9,16,72,78,101,29,28,11,17,53,96,168,13,7,5,5,14,1,6,3,0,0,1,1,4,19,2,0,0,1,0,0
/sol/transverse_shear/,All Users,53,73,7,9,44,52,19,23,25,7,11,13,20,36,68,61,4,6,12,22,20,17,34,2,3,13,13,12,14,0,0,0,0,1,0,2,0,0,1,1,2,1,3,5,5,6,16,25,48,52,39,44,41,4,5,0,0,1,0,0,0,0,0,0,0,1,2,0
/dyn/particle_kinematics/,All Users,4,4,4,3,6,14,19,16,1,7,12,3,3,6,4,4,2,6,3,16,23,6,0,4,7,4,3,7,3,1,3,3,4,3,1,1,2,8,9,5,11,37,9,15,14,17,36,62,81,92,87,122,115,2,3,3,0,0,0,0,1,1,1,0,1,0,0,0
/sta/centers_of_mass/,All Users,9,5,1,1,7,5,3,7,0,1,9,1,21,18,11,9,8,24,9,17,26,21,18,27,15,33,112,138,69,1,0,2,2,3,1,2,4,4,20,27,32,35,40,2,2,8,19,20,1,2,0,3,3,0,4,1,0,0,0,0,2,17,0,0,0,0,0,0
/sol/failure_theories/,All Users,1,0,0,1,1,0,0,4,2,4,5,5,9,4,5,4,4,13,14,21,4,7,6,25,39,65,87,97,106,1,0,1,3,0,0,2,0,1,4,5,6,11,18,32,3,6,5,10,29,40,37,31,41,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
